video_id,subject_id,label,y,attack_type,device,lighting,n_valid_frames,median_iod,G1,G2,G3,b_nose_eye_left,b_nose_eye_right,b_nose_chin_ratio,b_face_wh_ratio,b_sharpness
s001_live_01,s001,live,1,none,macbook_facetime,room_daylight,120,0.2785536179178344,0.0006171099116148347,0.049750216482434675,0.0020810019839518344,0.4241757296063824,0.7079225506227708,0.29362211893459444,2.2490273505808847,102.26928819352136
s001_screen_01,s001,attack,0,screen,macbook_facetime,room_daylight,120,0.19854967167610457,7.28765406161318e-05,0.0004828973185009264,1.0922835978468106e-05,0.5823780951209602,0.5524276873474948,0.2541041305964252,2.3035761808039994,163.46444660881417
s002_live_01,s002,live,1,none,macbook_facetime,room_daylight,120,0.20519156072529304,0.0006579802643509315,0.17900202205233315,0.0019796996800713405,0.848700502663971,0.43232328724614455,0.49594859373543476,1.4347888607223391,250.7495090653777
s002_screen_01,s002,attack,0,screen,macbook_facetime,room_daylight,120,0.1710837631314443,0.00021846748826625782,0.0008931083588346984,0.00016002444869312778,0.5821537839128922,0.5539370023456409,0.3355481236878247,1.9331077452042902,137.25810345050783
s003_live_01,s003,live,1,none,macbook_facetime,room_daylight,120,0.35579918117695475,0.00031232216815857877,0.6580682744850246,0.006534423225945552,0.7870444050692618,0.3927851253929821,0.3891858606030456,1.7941733421903452,156.05058204720405
s003_screen_01,s003,attack,0,screen,macbook_facetime,room_daylight,120,0.36437059622132795,2.4167404279821043e-05,0.0013986497383999515,0.00014235675600423505,0.5697869407353378,0.5713522738027946,0.3061931129846396,2.056126581560271,125.74493070210329
s004_live_01,s004,live,1,none,macbook_facetime,room_daylight,120,0.298332687224064,0.0003669369608441279,0.2714893599231888,0.001835332234279019,0.7273325081677416,0.4431001215404623,0.3507134260994027,1.9382747388162573,199.5604344670807
s004_screen_01,s004,attack,0,screen,macbook_facetime,room_daylight,120,0.31955268616416216,2.9898109743626517e-05,0.0013537221827328062,7.238467956300891e-05,0.5772637592178156,0.5936666118888447,0.28888626518170474,1.992869263068139,82.14532772142286
s005_live_01,s005,live,1,none,macbook_facetime,room_daylight,120,0.29760267944641217,0.0005207871516664614,0.898528183953857,0.002008765029597284,0.2773025377359415,0.9651293262991866,0.4270909067079125,1.8169546567909218,121.36838085257449
s005_screen_01,s005,attack,0,screen,macbook_facetime,room_daylight,120,0.2953042245715787,3.9194221685170185e-05,0.0016102767798058485,0.00011546636316391448,0.5493922744947333,0.5598220593069064,0.3479273279992341,1.9547643347699526,108.89953917535894
s006_live_01,s006,live,1,none,macbook_facetime,room_daylight,120,0.23242358513563038,0.00016948666981497215,0.6654785970370096,0.0021746727531504247,0.8730810751980667,0.32752016518178223,0.43477248285856696,1.70659362643706,225.20478977018527
s006_screen_01,s006,attack,0,screen,macbook_facetime,room_daylight,120,0.21996987948272037,6.906381255325089e-05,0.0022808922396985554,0.00014580954690333645,0.6016538235210382,0.5746640410929827,0.32835032353915244,1.9065583682476488,40.47897266481945
