sigma,repeat,model,apcer,bpcer,acer,accuracy
0.1,13,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.1,13,M1_pls,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
0.1,14,B0_majority,0.0,1.0,0.5,0.5
0.1,14,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.1,14,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.1,15,B0_majority,0.0,1.0,0.5,0.5
0.1,15,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.1,15,M1_pls,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
0.1,16,B0_majority,0.0,1.0,0.5,0.5
0.1,16,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.1,16,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.1,17,B0_majority,0.0,1.0,0.5,0.5
0.1,17,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.1,17,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.1,18,B0_majority,0.0,1.0,0.5,0.5
0.1,18,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.1,18,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
0.1,19,B0_majority,0.0,1.0,0.5,0.5
0.1,19,B1_static2d,0.3333333333333333,0.16666666666666666,0.25,0.75
0.1,19,M1_pls,0.16666666666666666,0.3333333333333333,0.25,0.75
